"","Date","BTI","NPN","AGL","MNP","SOL","SBK","NED","ABG","SHP","FSR"
"4319970",1561014002,50067.5756708075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4319971",1561014003,50041.1469090909,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4319974",1561014006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18042.7260133402,NaN,NaN
"4319978",1561014010,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18065.6682134571,NaN,NaN
"4319980",1561014012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18048.7544843049,NaN,NaN
"4319983",1561014015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18024.2100108814,NaN,NaN
"4319984",1561014016,NaN,NaN,NaN,NaN,NaN,20620.2544466403,NaN,NaN,NaN,NaN
"4319985",1561014017,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18019,NaN,NaN
"4319986",1561014018,49976.3709615385,NaN,NaN,NaN,NaN,NaN,NaN,18040.3,NaN,NaN
"4319988",1561014020,NaN,NaN,NaN,NaN,NaN,20604.4929577465,NaN,NaN,NaN,NaN
"4319989",1561014021,NaN,NaN,NaN,NaN,NaN,20631,NaN,NaN,NaN,NaN
"4319990",1561014022,NaN,NaN,NaN,32235.9257552483,NaN,20658,NaN,NaN,NaN,NaN
"4319991",1561014023,NaN,NaN,NaN,NaN,NaN,20658,NaN,NaN,NaN,NaN
"4319993",1561014025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18013,NaN,NaN
"4319994",1561014026,NaN,NaN,NaN,NaN,NaN,20606,NaN,NaN,NaN,NaN
"4319998",1561014030,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17992,NaN,NaN
"4319999",1561014031,NaN,NaN,NaN,NaN,36000,NaN,NaN,NaN,NaN,NaN
"4320005",1561014037,NaN,NaN,NaN,NaN,35991.4563106796,NaN,NaN,NaN,NaN,NaN
"4320006",1561014038,NaN,NaN,NaN,NaN,NaN,20608.7223497017,26751.0011198208,NaN,NaN,NaN
"4320007",1561014039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17955.6300211416,NaN,NaN
"4320008",1561014040,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17626,NaN
"4320013",1561014045,NaN,NaN,NaN,NaN,35912,NaN,NaN,NaN,NaN,NaN
"4320014",1561014046,NaN,NaN,NaN,NaN,NaN,20613.1515151515,NaN,NaN,NaN,NaN
"4320018",1561014050,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7050.49858210879
"4320019",1561014051,NaN,NaN,NaN,NaN,NaN,20634.6235294118,NaN,NaN,NaN,7050.76549048139
"4320020",1561014052,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7050
"4320022",1561014054,NaN,NaN,38899,NaN,35992.4347826087,NaN,NaN,NaN,NaN,NaN
"4320024",1561014056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7055.52028533214
"4320025",1561014057,NaN,NaN,NaN,NaN,NaN,20634,NaN,NaN,NaN,7054
"4320026",1561014058,NaN,351613.6704947,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4320027",1561014059,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7082
"4320028",1561014060,NaN,351575.167369902,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7057
"4320029",1561014061,NaN,351682.590163934,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4320030",1561014062,NaN,352975.689795918,NaN,NaN,35999.2955665025,NaN,NaN,NaN,NaN,NaN
"4320031",1561014063,NaN,352552.892787524,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4320032",1561014064,NaN,352621.673130194,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4320033",1561014065,NaN,NaN,NaN,NaN,NaN,NaN,26760.8403779214,NaN,NaN,7072.4940151075
"4320034",1561014066,NaN,352598.506393862,NaN,NaN,35931,NaN,26756,NaN,NaN,NaN
"4320037",1561014069,50177.01,NaN,NaN,NaN,NaN,20635,26799.2380952381,NaN,NaN,7081
"4320038",1561014070,NaN,NaN,NaN,NaN,35932,NaN,NaN,NaN,NaN,7050
"4320039",1561014071,NaN,352646.258064516,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4320040",1561014072,NaN,NaN,NaN,NaN,NaN,NaN,26872.8144104804,NaN,NaN,NaN
"4320041",1561014073,NaN,352684.410876133,NaN,NaN,NaN,NaN,26871,NaN,NaN,7080
"4320042",1561014074,NaN,NaN,NaN,NaN,NaN,NaN,26870,NaN,NaN,NaN
"4320043",1561014075,NaN,NaN,NaN,NaN,NaN,NaN,26868.4473197782,NaN,NaN,NaN
"4320044",1561014076,NaN,351696.055944056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4320045",1561014077,NaN,NaN,39066,NaN,NaN,20657,NaN,NaN,NaN,7080.27359781122
"4320046",1561014078,NaN,350501.201612903,NaN,NaN,36004,NaN,NaN,NaN,NaN,NaN
"4320048",1561014080,NaN,NaN,NaN,NaN,35997.293768546,NaN,NaN,NaN,NaN,7065.06719761075
"4320049",1561014081,NaN,NaN,NaN,NaN,NaN,20679,26800.3740629685,NaN,NaN,NaN
"4320051",1561014083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7083
"4320054",1561014086,NaN,NaN,NaN,NaN,NaN,NaN,26750,NaN,NaN,NaN
"4320055",1561014087,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7084
"4320057",1561014089,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17944.1115843271,NaN,NaN
"4320058",1561014090,NaN,350502.431972789,NaN,NaN,NaN,NaN,26745,17857,NaN,NaN
"4320059",1561014091,NaN,NaN,NaN,NaN,35999.5210970464,NaN,NaN,17952,NaN,7094
"4320060",1561014092,NaN,350504,NaN,NaN,35956,20669,NaN,NaN,NaN,NaN
"4320061",1561014093,NaN,350501.751124438,NaN,32168.8842975207,NaN,NaN,NaN,NaN,NaN,NaN
"4320062",1561014094,NaN,350504,NaN,32252,NaN,NaN,NaN,NaN,NaN,NaN
"4320065",1561014097,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17952,17574,NaN
"4320066",1561014098,NaN,NaN,NaN,NaN,NaN,NaN,26711,17964.6355206847,NaN,NaN
"4320068",1561014100,NaN,NaN,NaN,NaN,NaN,NaN,26700,NaN,NaN,NaN
"4320071",1561014103,NaN,NaN,NaN,NaN,NaN,NaN,26681,NaN,NaN,NaN
"4320073",1561014105,NaN,350504,NaN,NaN,35958,NaN,NaN,17947,NaN,NaN
"4320074",1561014106,NaN,NaN,NaN,NaN,NaN,NaN,26700,NaN,NaN,NaN
"4320075",1561014107,NaN,NaN,NaN,NaN,NaN,NaN,26700,NaN,NaN,NaN
"4320076",1561014108,NaN,350500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4320077",1561014109,NaN,NaN,NaN,NaN,35954.5254363164,NaN,NaN,NaN,NaN,NaN
"4320078",1561014110,NaN,350500,NaN,NaN,35922,NaN,NaN,17960,NaN,NaN
"4320080",1561014112,NaN,NaN,NaN,NaN,35917.4063205418,NaN,NaN,NaN,17481,NaN
"4320082",1561014114,NaN,NaN,NaN,NaN,35983,NaN,NaN,NaN,17472,NaN
"4320083",1561014115,NaN,NaN,NaN,NaN,35912,NaN,NaN,NaN,NaN,NaN
"4320084",1561014116,NaN,NaN,NaN,32087,NaN,NaN,NaN,17960,NaN,NaN
"4320085",1561014117,50057.562238806,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4320086",1561014118,NaN,350500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4320088",1561014120,NaN,350500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4320089",1561014121,NaN,350500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4320091",1561014123,NaN,350500,NaN,NaN,35910,NaN,NaN,NaN,NaN,NaN
"4320093",1561014125,NaN,350500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4320097",1561014129,NaN,350842,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4320098",1561014130,NaN,350836.601910828,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4320103",1561014135,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7056.23860653782
"4320104",1561014136,NaN,351200,NaN,32246,35976,20668,26754,18022,17569,7070
"4320106",1561014138,NaN,NaN,NaN,32113,NaN,NaN,NaN,NaN,NaN,NaN
"4320108",1561014140,50026.77,NaN,39056,NaN,NaN,20668,NaN,NaN,NaN,NaN
"4320109",1561014141,50026.77,NaN,NaN,NaN,NaN,20668,NaN,NaN,NaN,NaN
"4320110",1561014142,NaN,NaN,NaN,NaN,35976,NaN,NaN,NaN,NaN,NaN
"4320111",1561014143,NaN,NaN,NaN,NaN,NaN,20642,NaN,NaN,NaN,NaN
"4320112",1561014144,NaN,NaN,NaN,NaN,35909,NaN,NaN,NaN,NaN,NaN
"4320114",1561014146,NaN,350551,NaN,NaN,NaN,20666,NaN,NaN,NaN,NaN
"4320119",1561014151,NaN,NaN,NaN,NaN,NaN,20650,NaN,NaN,NaN,NaN
"4320123",1561014155,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7055.57499740852
"4320124",1561014156,NaN,351158.447488584,NaN,32241,NaN,20666,26754.3872912801,18021,17569,7057.84815618221
"4320125",1561014157,NaN,351100,NaN,32241,NaN,20666,26704.4718792867,18020,17569,7065
"4320126",1561014158,NaN,351100,NaN,32246,NaN,20666.5285245902,26758,18021,17569,7064
"4320127",1561014159,NaN,NaN,NaN,NaN,35975,NaN,NaN,NaN,NaN,NaN
"4320128",1561014160,NaN,NaN,NaN,NaN,35975,20680,NaN,NaN,NaN,NaN
"4320129",1561014161,49990.8265656566,351100,39070,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4320130",1561014162,NaN,351449.42,NaN,NaN,NaN,NaN,26733.6793327155,NaN,NaN,NaN
"4320131",1561014163,NaN,351498,NaN,32247,NaN,20680,26732,18020,17569,7063
"4320132",1561014164,NaN,NaN,NaN,NaN,NaN,20662.3904761905,NaN,NaN,NaN,NaN
"4320133",1561014165,NaN,NaN,NaN,NaN,NaN,20660,26735.0566037736,NaN,NaN,NaN
"4320134",1561014166,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17568,7051.33333333333
"4320136",1561014168,50011.06,NaN,39050,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4320137",1561014169,NaN,NaN,NaN,NaN,NaN,20649,NaN,NaN,NaN,NaN
"4320138",1561014170,NaN,NaN,NaN,NaN,35974,NaN,NaN,NaN,NaN,NaN
"4320139",1561014171,NaN,NaN,NaN,NaN,35974,NaN,NaN,NaN,NaN,NaN
"4320141",1561014173,NaN,NaN,NaN,NaN,NaN,20670,NaN,NaN,NaN,7050
"4320142",1561014174,NaN,351500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4320143",1561014175,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17568,NaN
